date,y,yhat_lstm,yhat_lstm_0,yhat_lstm_1,predict,predicttrue
2017/9/21,-0.051284682,-1,0.646857858,0.353142172,0.025642341,1
2017/9/22,-0.010262199,-1,0.682271361,0.317728698,0.0051311,1
2017/9/25,-0.148744674,-1,0.751856148,0.248143882,0.074372337,1
2017/9/26,-0.395085047,-1,0.631894052,0.368105918,0.197542524,1
2017/9/27,-0.405347024,-1,0.624192655,0.375807345,0.202673512,1
2017/9/28,-0.621646534,-1,0.627294838,0.372705162,0.310823267,1
2017/9/29,-0.956256323,-1,0.910371184,0.089628838,0.478128162,1
2017/10/9,-0.87902486,0,0.397208542,0.602791429,-0.43951243,0
2017/10/10,-0.498831098,0,0.393947005,0.606052935,-0.249415549,0
2017/10/11,-0.462892356,-1,0.515294373,0.484705657,0.231446178,1
2017/10/12,-0.401173197,-1,0.573175371,0.426824689,0.200586599,1
2017/10/13,-0.283162338,0,0.219687477,0.780312538,-0.141581169,0
2017/10/16,-0.618877684,-1,0.779677927,0.220322102,0.309438842,1
2017/10/17,-0.320033309,-1,0.607059598,0.392940372,0.160016655,1
2017/10/18,-0.450439551,-1,0.892386615,0.1076134,0.225219776,1
2017/10/19,-0.91808005,-1,0.558276176,0.441723734,0.459040025,1
2017/10/20,-0.953128169,-1,0.558276176,0.441723734,0.476564085,1
2017/10/23,-0.864640764,-1,0.558276176,0.441723734,0.432320382,1
2017/10/24,-0.98400504,-1,0.558276176,0.441723734,0.49200252,1
2017/10/25,-0.906342792,-1,0.558276176,0.441723734,0.453171396,1
2017/10/26,-0.497874693,-1,0.684933782,0.315066248,0.248937347,1
2017/10/27,-0.80980509,0,0.086786665,0.913213372,-0.404902545,0
2017/10/30,-0.317039844,-1,0.964725554,0.035274498,0.158519922,1
2017/10/31,0.067717153,-1,0.938326836,0.061673131,-0.033858577,0
2017/11/1,-0.078102631,-1,0.911226988,0.088773012,0.039051316,1
2017/11/2,-0.505670307,-1,0.931266844,0.068733118,0.252835154,1
2017/11/3,-0.187539126,-1,0.872288823,0.127711162,0.093769563,1
2017/11/6,-0.088484066,-1,0.766544998,0.233454973,0.044242033,1
2017/11/7,-0.04680309,-1,0.919933319,0.080066688,0.023401545,1
2017/11/8,0.09898154,-1,0.831441164,0.168558791,-0.04949077,0
2017/11/9,-0.098955764,-1,0.896507204,0.103492811,0.049477882,1
2017/11/10,-0.083350703,-1,0.932595491,0.067404471,0.041675352,1
2017/11/13,-0.391430786,-1,0.90355438,0.096445598,0.195715393,1
2017/11/14,-0.036590785,-1,0.980151176,0.019848814,0.018295393,1
2017/11/15,-0.109560465,-1,0.776362121,0.223637879,0.054780233,1
2017/11/16,-0.192854038,-1,0.654951453,0.345048547,0.096427019,1
2017/11/17,-0.380436658,0,0.074412547,0.925587416,-0.190218329,0
2017/11/20,0.093681697,-1,0.862042308,0.137957677,-0.046840849,0
2017/11/21,0.426373358,-1,0.751918375,0.248081669,-0.213186679,0
2017/11/22,0.442006908,-1,0.692134261,0.307865739,-0.221003454,0
2017/11/23,0.781335364,-1,0.820780694,0.179219231,-0.390667682,0
2017/11/24,0.760420331,-1,0.723981559,0.276018441,-0.380210166,0
2017/11/27,0.603696863,-1,0.653223455,0.346776605,-0.301848432,0
2017/11/28,0.551510243,0,0.000598799,0.999401212,0.275755122,1
2017/11/29,0.62980039,0,0.110475257,0.889524758,0.314900195,1
2017/11/30,0.088396647,-1,0.644798994,0.355201036,-0.044198324,0
2017/12/1,-0.264969632,-1,0.627718151,0.372281909,0.132484816,1
2017/12/4,-0.207759904,-1,0.642504811,0.357495219,0.103879952,1
2017/12/5,-0.07785939,-1,0.636607707,0.363392264,0.038929695,1
2017/12/6,0.072614111,-1,0.63629359,0.36370641,-0.036307056,0
2017/12/7,0.051872602,-1,0.578260064,0.421739995,-0.025936301,0
2017/12/8,0.03112679,0,0.070376687,0.929623246,0.015563395,1
2017/12/11,0.062243894,0,0.034954578,0.965045393,0.031121947,1
2017/12/12,0.259538168,0,0.223329142,0.776670814,0.129769084,1
2017/12/13,0.549936535,0,0.001992493,0.998007476,0.274968268,1
2017/12/14,0.420266787,0,0.000123529,0.999876499,0.210133394,1
2017/12/15,0.186760793,0,0.004488917,0.995511055,0.093380397,1
2017/12/18,0.057016977,-1,0.619587421,0.380412579,-0.028508489,0
2017/12/19,0.09330293,-1,0.619712234,0.380287796,-0.046651465,0
2017/12/20,0.217616666,-1,0.619564116,0.380435914,-0.108808333,0
